Or,,T,,N,,K,Ans
3110,28.9,18.0,29.1,16.1,26.8,20.2,3074
3048,30.0,19.1,30.0,17.2,27.7,21.1,3087
3055,26.0,20.3,25.7,18.5,30.2,21.8,3183
3077,24.9,19.5,25.6,19.0,27.0,22.3,3214
3272,26.8,19.9,27.5,19.0,27.1,22.9,3137
3075,27.7,19.1,28.3,20.1,27.8,23.2,2839
2933,20.8,14.8,21.2,14.5,27,18.2,3186
