日期,備轉容量,臺北最低氣溫(℃),新北最低氣溫(℃),高雄最低氣溫(℃)
20200816,4622,26.5,24.9,26.3
20200817,4585,28.3,28.6,26.0
20200818,4236,28.9,28.8,27.0
20200819,3869,27.8,26.4,27.3
20200820,4384,27.6,26.2,27.1
20200821,3862,28.7,27.8,26.4
20200822,3398,25.9,25.8,26.5
20200823,3297,25.9,25.8,25.7
20200824,3695,27.8,26.7,26.5
20200825,3812,28.6,27.3,25.1
20200826,3796,28.2,27.0,24.7
20200827,4545,25.4,25.4,25.2
20200828,4272,25.5,25.4,26.3
20200829,4174,26.9,25.8,26.1
20200830,4086,28.1,26.6,27.3
20200831,4719,26.7,25.9,26.0
20200901,4478,26.0,25.2,26.3
20200902,3868,27.0,26.6,28.1
20200903,4811,25.5,25.4,26.3
20200904,4870,26.0,24.9,26.4
20200905,3922,25.7,25.1,27.2
20200906,3873,24.6,22.6,26.3
20200907,4362,23.1,21.2,24.4
20200908,4155,26.5,25.3,26.6
20200909,4176,26.5,25.2,27.4
20200910,4255,25.7,24.7,27.2
20200911,4084,26.1,25.1,27.0
20200912,3383,26.7,26.6,27.3
20200913,3024,26.2,25.5,27.3
20200914,3718,26.2,25.3,27.7
20200915,3725,26.6,25.8,27.6
20200916,3733,26.9,26.0,27.3
20200917,3724,27.3,25.3,27.7
20200918,3729,27.4,26.2,28.2
20200919,3317,27.9,27.2,26.9
20200920,3885,25.4,24.6,26.6
20200921,4562,25.8,25.8,26.9
20200922,5125,24.3,24.4,27.6
20200923,4772,24.3,23.8,28.3
20200924,5434,22.6,22.1,27.5
20200925,5274,21.6,21.3,26.4
20200926,4547,21.7,21.7,26.9
20200927,4489,20.9,20.9,27.1
20200928,4555,21.9,21.6,26.4
20200929,4259,22.0,21.8,26.3
20200930,5285,20.5,20.1,26.2
20201001,4645,20.4,20.4,27.5
20201002,3460,24.1,23.7,26.2
20201003,3418,24.0,21.5,25.7
20201004,3591,25.4,22.9,26.8
20201005,4539,22.4,22.6,26.7
20201006,4239,22.4,22.6,26.7
20201007,4100,23.0,22.8,26.8
20201008,4718,22.1,21.9,25.8
20201009,4310,21.6,21.2,25.4
20201010,3295,22.3,22.3,25.5
20201011,3088,23.8,23.9,25.7
20201012,3361,24.5,24.5,27.3
20201013,3465,23.8,24.1,26.0
20201014,3992,23.4,24.1,26.9
20201015,3926,24.6,24.5,26.6
20201016,3801,23.4,23.5,25.5
20201017,4087,22.3,22.3,26.0
20201018,3946,21.2,21.2,24.6
20201019,4505,21.5,21.5,25.1
20201020,4244,22.4,22.4,24.5
20201021,3309,22.9,23.2,24.9
20201022,4341,19.6,19.0,21.6
20201023,4003,18.7,18.5,21.4
20201024,3892,21.1,20.8,22.9
20201025,4025,21.9,21.9,23.6
20201026,3503,22.8,22.9,25.3
20201027,3402,23.5,23.7,25.0
20201028,3470,24.2,24.4,25.0
20201029,3707,23.2,23.5,26.0
20201030,4215,21.4,21.3,25.4
20201031,3719,20.3,20.1,24.0
20201101,3569,22.3,22.1,22.3
20201102,3523,22.3,22.6,22.6
20201103,3189,18.7,18.9,23.3
20201104,3551,18.7,18.8,23.5
20201105,3319,21.4,20.7,24.3
20201106,3263,22.5,22.8,23.6
20201107,3199,22.8,21.2,24.1
20201108,3928,19.7,19.5,22.9
20201109,4080,19.6,19.7,22.2
20201110,3590,19.0,18.8,21.7
20201111,3708,20.6,20.7,21.2
20201112,3190,20.9,21.2,22.1
20201113,3373,20.9,21.2,24.0
20201114,3364,20.6,20.7,23.6
20201115,3463,21.8,21.7,23.8
20201116,3147,22.5,22.7,23.4
20201117,3202,24.1,23.7,24.5
20201118,3361,22.3,20.7,23.3
20201119,3314,22.9,21.3,24.2
20201120,3643,23.7,22.6,25.8
20201121,2928,22.7,22.6,26.5
20201122,2765,21.4,20.9,25.8
20201123,3144,20.8,21.1,24.8
20201124,3134,21.4,21.6,23.8
20201125,3306,22.2,22.1,24.1
20201126,3144,22.9,23.3,23.1
20201127,3495,20.7,19.4,22.9
20201128,2977,18.5,18.6,21.4
20201129,3287,17.9,18.0,21.1
20201130,3320,18.1,18.2,21.5
20201201,3237,18.0,18.0,20.8
20201202,3050,17.8,18.0,21.1
20201203,3168,15.9,15.6,19.8
20201204,3084,16.3,15.7,19.5
20201205,3618,16.1,16.3,20.0
20201206,2691,18.0,18.1,19.9
20201207,3106,19.4,19.6,21.8
20201208,3164,18.0,17.7,20.9
20201209,3094,17.6,17.3,20.3
20201210,3086,20.1,19.9,21.6
20201211,3129,19.7,19.8,21.3
20201212,3282,17.9,18.3,22.2
20201213,2830,17.5,17.3,21.5
20201214,3022,15.7,15.7,19.3
20201215,3012,15.0,15.1,17.8
20201216,3020,14.8,15.0,18.9
20201217,3000,14.7,14.7,18.3
20201218,3047,15.9,15.4,19.7
20201219,3047,15.4,15.4,18.6
20201220,3616,15.2,15.6,17.8
20201221,3072,14.4,14.7,18.8
20201222,3199,16.0,16.3,18.0
20201223,3076,18.6,18.3,20.2
20201224,3545,17.8,17.0,20.2
20201225,3418,16.3,16.3,18.9
20201226,3066,17.1,16.1,19.1
20201227,2869,17.4,16.5,20.1
20201228,3135,17.8,17.6,20.2
20201229,3094,19.0,18.5,21.6
20201230,3118,10.3,10.1,14.1
20201231,3154,7.6,7.5,13.3
20210101,2767,11.0,10.7,12.8
20210102,2936,12.7,12.8,13.8
20210103,3037,14.6,14.7,15.0
20210104,3032,16.0,16.0,16.7
20210105,3067,14.9,14.9,17.7
20210106,3102,14.0,14.2,17.5
20210107,3102,9.6,9.4,14.5
20210108,3105,7.3,6.8,10.6
20210109,3202,8.3,8.0,10.3
20210110,2906,10.1,8.8,11.5
20210111,3093,9.5,8.8,13.1
20210112,3116,8.7,8.5,11.3
20210113,3114,6.8,6.8,11.5
20210114,3132,9.3,7.7,13.1
20210115,3310,11.1,9.7,13.9
20210116,3046,14.3,11.9,14.3
20210117,3035,12.2,12.5,14.6
20210118,3157,12.8,12.4,12.9
20210119,3159,13.8,13.9,15.2
20210120,3149,17.4,17.4,16.4
20210121,3074,19.5,16.9,18.6
20210122,3097,20.6,20.3,19.8
20210123,3203,19.0,18.8,18.6
20210124,3073,16.7,16.7,19.1
20210125,3269,16.5,15.2,17.5
20210126,3219,15.0,13.1,18.0
20210127,3064,17.2,17.3,16.4
20210128,3286,13.6,13.9,16.2
20210129,3203,14.5,14.2,15.3
20210130,3447,14.6,14.6,15.5
20210131,2906,14.3,12.0,15.8
20210201,2938,14.8,12.8,15.6
20210202,3045,14.6,12.7,16.7
20210203,3006,16.2,16.0,17.1
20210204,3132,15.8,16.3,17.5
20210205,3060,18.3,16.4,18.2
20210206,3066,16.2,14.3,17.3
20210207,2763,16.8,14.5,17.2
20210208,3047,16.6,16.9,17.7
20210209,2880,15.5,16.0,18.3
20210210,2888,17.9,18.1,18.3
20210211,2833,17.2,17.0,17.3
20210212,2992,17.4,17.6,17.0
20210213,3024,17.9,17.7,18.3
20210214,2911,16.2,15.4,17.8
20210215,2645,14.8,13.1,17.1
20210216,3002,18.0,17.6,17.7
20210217,2824,14.0,13.4,18.0
20210218,2907,12.2,12.0,16.1
20210219,2885,12.1,11.4,15.4
20210220,2975,11.9,9.7,15.0
20210221,3139,13.2,10.9,15.3
20210222,2989,14.4,12.1,17.3
20210223,3109,17.3,14.3,19.3
