Or,T,N,K,Ans
3110,17.3,17.1,19.7,3074
3048,17.7,17.8,19.1,3087
3055,17.5,17.9,19.5,3183
3077,18.7,18.6,20.2,3214
3272,18.5,17.9,20.3,3137
3075,17.7,17.7,20.6,2839
2933,18.4,18.4,20.0,3186
