"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.4","1007.8","1009.3","2019-09-01 23:00","1006.1","2019-09-01 05:14","29.5","32.3","2019-09-01 15:41","27.8","2019-09-01 05:06","25.9","81","71","2019-09-01 16:29","1.7","290","7.2","360","2019-09-01 17:40","1.0","1.0","0.5","2019-09-01 18:12","1.0","2019-09-01 18:10","4.7","37.6","13.91","8.0","-3.5","8","2019-09-01 13:00","6.3"
"02","1008.1","1008.4","1009.7","2019-09-02 09:08","1006.0","2019-09-02 15:53","29.9","32.2","2019-09-02 09:01","27.1","2019-09-02 05:17","25.8","79","68","2019-09-02 09:19","1.8","60","6.5","320","2019-09-02 14:28","0.0","0.0","0.0","...","0.0","...","9.5","76.0","18.62","10.0","4.5","9","2019-09-02 13:00","4.8"
"03","1005.9","1006.2","1007.7","2019-09-03 00:04","1004.2","2019-09-03 14:38","29.1","32.5","2019-09-03 13:25","27.0","2019-09-03 19:12","25.5","81","69","2019-09-03 12:39","1.6","40","6.8","270","2019-09-03 13:42","4.0","2.1","2.0","2019-09-03 18:16","3.0","2019-09-03 18:16","6.7","53.7","20.16","10.7","/","11","2019-09-03 12:00","6.5"
"04","1005.0","1005.4","1006.9","2019-09-04 09:23","1003.7","2019-09-04 15:14","26.5","28.7","2019-09-04 00:58","25.2","2019-09-04 05:45","24.8","91","83","2019-09-04 00:58","1.3","200","9.1","300","2019-09-04 06:51","130.5","13.8","23.0","2019-09-04 06:49","75.0","2019-09-04 06:44","0.1","0.8","2.26","8.2","-1.6","2","2019-09-04 12:00","9.4"
"05","1002.6","1002.9","1003.9","2019-09-05 00:04","1001.0","2019-09-05 14:52","28.8","32.4","2019-09-05 11:54","25.9","2019-09-05 04:11","25.3","82","72","2019-09-05 10:18","1.6","290","6.5","280","2019-09-05 14:30","0.0","0.0","0.0","...","0.0","...","6.3","50.7","18.46","10.3","-4.6","13","2019-09-05 12:00","6.3"
"06","1001.6","1001.9","1003.9","2019-09-06 21:27","1000.1","2019-09-06 13:01","28.8","32.0","2019-09-06 10:12","26.3","2019-09-06 19:45","25.4","82","71","2019-09-06 10:16","1.8","180","9.1","70","2019-09-06 19:40","15.0","3.3","8.5","2019-09-06 19:34","10.5","2019-09-06 19:01","4.1","33.1","14.85","9.2","/","9","2019-09-06 11:00","8.5"
"07","1003.8","1004.1","1006.1","2019-09-07 22:08","1001.9","2019-09-07 02:46","28.7","31.6","2019-09-07 13:24","24.9","2019-09-07 04:32","25.4","83","71","2019-09-07 15:27","1.6","300","6.3","290","2019-09-07 11:53","55.5","2.0","13.5","2019-09-07 03:35","50.5","2019-09-07 03:15","6.1","49.3","15.43","10.3","3.9","9","2019-09-07 12:00","6.2"
"08","1005.0","1005.3","1006.6","2019-09-08 21:32","1003.4","2019-09-08 14:49","29.5","31.9","2019-09-08 12:07","26.8","2019-09-08 05:30","25.6","80","72","2019-09-08 09:16","1.6","170","6.7","220","2019-09-08 14:38","0.0","0.0","0.0","...","0.0","...","10.2","82.5","20.82","11.7","5.3","11","2019-09-08 13:00","5.1"
"09","1006.0","1006.3","1008.2","2019-09-09 21:36","1004.5","2019-09-09 14:32","29.7","32.1","2019-09-09 10:23","26.6","2019-09-09 05:38","24.8","76","67","2019-09-09 09:18","1.6","280","5.4","290","2019-09-09 11:31","0.0","0.0","0.0","...","0.0","...","8.8","71.3","19.20","12.0","-5.5","8","2019-09-09 11:00","4.8"
"10","1009.2","1009.6","1011.7","2019-09-10 22:47","1006.8","2019-09-10 02:05","27.2","30.1","2019-09-10 10:17","25.2","2019-09-10 22:03","24.4","85","74","2019-09-10 00:01","1.5","60","11.1","350","2019-09-10 05:21","14.0","3.4","4.0","2019-09-10 16:04","8.5","2019-09-10 15:50","0.8","6.5","7.89","6.5","-2.6","6","2019-09-10 11:00","8.1"
"11","1010.4","1010.7","1012.1","2019-09-11 08:42","1008.7","2019-09-11 15:11","28.9","32.3","2019-09-11 13:46","25.2","2019-09-11 03:11","24.7","79","67","2019-09-11 15:17","1.5","270","5.3","280","2019-09-11 14:21","0.0","0.0","0.0","...","0.0","...","11.4","92.7","21.51","9.7","5.6","10","2019-09-11 12:00","1.2"
"12","1008.2","1008.6","1010.3","2019-09-12 00:01","1006.4","2019-09-12 14:47","29.7","32.4","2019-09-12 11:35","26.6","2019-09-12 05:27","25.2","77","67","2019-09-12 10:39","1.6","290","7.3","320","2019-09-12 14:39","0.0","0.0","0.0","...","0.0","...","10.5","85.6","20.25","8.0","6.4","9","2019-09-12 12:00","2.7"
"13","1006.8","1007.1","1008.1","2019-09-13 09:38","1005.3","2019-09-13 14:19","30.0","32.5","2019-09-13 13:13","27.5","2019-09-13 04:52","25.4","77","67","2019-09-13 13:12","1.7","300","6.3","270","2019-09-13 13:02","0.0","0.0","0.0","...","0.0","...","9.8","80.0","21.21","8.3","-5.5","10","2019-09-13 12:00","3.4"
"14","1006.6","1006.9","1008.1","2019-09-14 23:02","1005.2","2019-09-14 14:42","29.9","32.1","2019-09-14 12:42","26.8","2019-09-14 07:14","25.5","78","69","2019-09-14 11:54","2.0","210","6.1","150","2019-09-14 18:17","3.0","0.7","2.0","2019-09-14 07:02","2.5","2019-09-14 06:30","7.9","64.6","17.41","6.8","5.9","11","2019-09-14 12:00","5.5"
"15","1006.4","1006.7","1007.7","2019-09-15 00:01","1004.6","2019-09-15 14:45","29.0","32.5","2019-09-15 13:09","26.5","2019-09-15 20:39","24.8","78","68","2019-09-15 09:45","2.2","290","10.2","340","2019-09-15 17:42","24.0","2.2","9.0","2019-09-15 17:42","21.5","2019-09-15 17:30","6.2","50.8","17.81","8.2","-7.5","9","2019-09-15 13:00","6.9"
"16","1005.7","1006.0","1006.7","2019-09-16 00:01","1004.5","2019-09-16 14:23","29.2","31.1","2019-09-16 11:54","27.7","2019-09-16 00:01","24.8","77","70","2019-09-16 12:41","1.5","190","4.5","230","2019-09-16 02:47","0.0","0.0","0.0","...","0.0","...","0.3","2.5","11.05","11.0","3.5","8","2019-09-16 12:00","7.4"
"17","1006.5","1006.9","1008.2","2019-09-17 21:29","1005.1","2019-09-17 01:44","29.8","32.5","2019-09-17 14:23","27.2","2019-09-17 04:31","24.8","75","64","2019-09-17 14:00","1.6","180","6.3","280","2019-09-17 14:14","0.0","0.0","0.0","...","0.0","...","9.1","74.8","17.81","11.0","4.5","9","2019-09-17 12:00","5.7"
"18","1007.2","1007.6","1008.4","2019-09-18 08:06","1005.7","2019-09-18 15:20","29.5","32.1","2019-09-18 11:10","27.2","2019-09-18 05:56","24.6","75","65","2019-09-18 16:45","1.9","200","6.3","170","2019-09-18 15:56","0.0","0.0","0.0","...","0.0","...","3.7","30.5","14.48","5.8","4.8","9","2019-09-18 12:00","8.0"
"19","1006.9","1007.2","1008.4","2019-09-19 09:01","1005.2","2019-09-19 16:22","28.7","30.8","2019-09-19 11:20","26.3","2019-09-19 23:41","23.0","71","64","2019-09-19 19:18","1.9","320","6.2","310","2019-09-19 16:00","0.0","0.0","0.0","...","0.0","...","0.0","0.0","9.40","6.8","3.6","6","2019-09-19 12:00","8.5"
"20","1003.0","1003.3","1006.1","2019-09-20 00:01","1000.5","2019-09-20 15:45","27.8","32.8","2019-09-20 12:37","24.9","2019-09-20 23:50","20.8","66","55","2019-09-20 12:37","4.4","360","16.8","350","2019-09-20 17:40","0.0","0.0","0.0","...","0.0","...","10.6","87.7","19.86","9.0","6.4","9","2019-09-20 12:00","2.3"
"21","1003.3","1003.6","1007.3","2019-09-21 23:28","1000.4","2019-09-21 03:11","27.0","30.2","2019-09-21 12:29","25.0","2019-09-21 00:01","18.3","59","50","2019-09-21 10:44","6.1","340","18.5","340","2019-09-21 10:01","0.0","0.0","0.0","...","0.0","...","8.4","69.6","19.58","11.7","7.6","10","2019-09-21 12:00","4.6"
"22","1010.2","1010.5","1013.9","2019-09-22 21:22","1006.6","2019-09-22 01:33","27.9","31.3","2019-09-22 11:14","25.6","2019-09-22 00:31","20.4","64","50","2019-09-22 10:42","3.5","350","10.5","330","2019-09-22 14:58","0.0","0.0","0.0","...","0.0","...","5.4","44.8","15.69","10.0","5.8","8","2019-09-22 13:00","7.2"
"23","1014.6","1015.0","1016.5","2019-09-23 20:42","1012.5","2019-09-23 03:52","27.6","30.2","2019-09-23 13:18","25.5","2019-09-23 05:00","21.3","69","56","2019-09-23 16:49","1.6","360","5.7","280","2019-09-23 14:51","0.0","0.0","0.0","...","0.0","...","3.6","29.9","14.10","8.5","5.0","8","2019-09-23 13:00","6.5"
"24","1015.5","1015.9","1017.0","2019-09-24 21:08","1014.0","2019-09-24 14:31","27.8","30.3","2019-09-24 13:38","24.5","2019-09-24 05:52","22.0","71","60","2019-09-24 16:10","1.4","260","5.7","270","2019-09-24 12:41","0.0","0.0","0.0","...","0.0","...","9.1","75.8","19.48","7.0","4.2","9","2019-09-24 12:00","2.0"
"25","1015.2","1015.6","1016.4","2019-09-25 21:15","1014.0","2019-09-25 14:22","28.3","30.8","2019-09-25 10:26","25.6","2019-09-25 05:39","21.6","67","59","2019-09-25 09:33","1.9","50","7.3","290","2019-09-25 14:00","0.0","0.0","0.0","...","0.0","...","9.3","77.6","19.13","8.2","5.8","8","2019-09-25 12:00","2.5"
"26","1015.2","1015.6","1016.4","2019-09-26 08:11","1013.9","2019-09-26 14:49","28.3","30.5","2019-09-26 13:27","25.8","2019-09-26 06:02","22.2","70","60","2019-09-26 15:06","1.8","290","6.2","290","2019-09-26 12:49","0.0","0.0","0.0","...","0.0","...","10.1","84.5","19.12","7.7","5.6","8","2019-09-26 12:00","1.2"
"27","1014.1","1014.5","1015.3","2019-09-27 00:01","1012.9","2019-09-27 17:13","28.3","30.7","2019-09-27 10:14","25.6","2019-09-27 04:33","22.9","73","66","2019-09-27 17:23","1.6","310","6.5","320","2019-09-27 10:37","0.0","0.0","0.0","...","0.0","...","4.9","41.0","14.25","7.5","4.0","7","2019-09-27 11:00","5.1"
"28","1012.4","1012.8","1014.0","2019-09-28 10:09","1010.9","2019-09-28 14:55","28.8","31.6","2019-09-28 13:22","25.9","2019-09-28 06:12","23.9","75","61","2019-09-28 09:39","1.8","280","6.8","290","2019-09-28 13:06","0.0","0.0","0.0","...","0.0","...","10.4","87.3","19.52","6.0","6.0","9","2019-09-28 12:00","1.6"
"29","1009.3","1009.6","1012.2","2019-09-29 00:01","1006.6","2019-09-29 23:25","29.3","32.2","2019-09-29 15:46","26.1","2019-09-29 05:58","24.0","74","59","2019-09-29 16:00","1.9","310","8.7","310","2019-09-29 14:24","0.0","0.0","0.0","...","0.0","...","9.6","80.7","18.67","7.3","5.1","10","2019-09-29 12:00","3.5"
"30","1000.8","1001.1","1007.0","2019-09-30 00:16","997.7","2019-09-30 15:06","28.6","31.2","2019-09-30 14:24","25.8","2019-09-30 23:57","24.3","78","68","2019-09-30 19:21","2.9","340","16.3","350","2019-09-30 23:54","0.0","0.0","0.0","...","0.0","...","1.3","11.0","10.21","4.8","-3.0","4","2019-09-30 13:00","8.9"
