"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.9","1020.3","1022.0","2019-02-01 10:19","1018.2","2019-02-01 03:50","22.1","25.5","2019-02-01 12:57","18.8","2019-02-01 07:16","14.9","64","53","2019-02-01 12:39","2.2","330","6.1","360","2019-02-01 01:51","0.0","0.0","0.0","...","0.0","...","6.7","60.5","13.77","7.0","3.7","7","2019-02-01 13:00","4.8"
"02","1018.1","1018.5","1020.4","2019-02-02 00:01","1015.7","2019-02-02 15:26","22.8","26.2","2019-02-02 13:26","20.0","2019-02-02 05:19","16.6","68","60","2019-02-02 13:24","1.6","20","6.5","290","2019-02-02 14:33","0.0","0.0","0.0","...","0.0","...","9.5","85.6","15.52","6.3","3.8","7","2019-02-02 13:00","2.4"
"03","1017.2","1017.6","1018.9","2019-02-03 09:42","1015.8","2019-02-03 04:07","24.8","29.7","2019-02-03 11:49","20.2","2019-02-03 05:40","19.8","74","58","2019-02-03 09:26","2.0","160","10.4","130","2019-02-03 10:04","T","0.3","T","2019-02-03 20:40","T","2019-02-03 20:40","7.0","63.0","14.26","9.8","-2.2","9","2019-02-03 12:00","4.4"
"04","1017.4","1017.8","1019.6","2019-02-04 09:18","1015.4","2019-02-04 15:17","24.0","27.7","2019-02-04 10:51","21.4","2019-02-04 23:27","20.1","79","68","2019-02-04 10:45","1.6","320","7.0","190","2019-02-04 12:12","6.0","3.0","1.5","2019-02-04 20:22","4.0","2019-02-04 19:55","2.3","20.7","8.58","9.7","-0.4","6","2019-02-04 11:00","5.5"
"05","1015.9","1016.3","1018.2","2019-02-05 09:18","1013.6","2019-02-05 15:22","22.5","26.8","2019-02-05 13:19","19.1","2019-02-05 07:12","18.1","76","60","2019-02-05 13:48","2.8","20","8.5","340","2019-02-05 21:24","1.5","1.8","0.5","2019-02-05 04:47","1.0","2019-02-05 04:27","2.2","19.7","11.04","6.3","1.6","8","2019-02-05 13:00","8.4"
"06","1014.4","1014.8","1015.9","2019-02-06 00:23","1012.7","2019-02-06 15:03","23.2","26.7","2019-02-06 11:38","20.0","2019-02-06 02:41","18.3","74","58","2019-02-06 11:55","2.2","320","8.4","360","2019-02-06 00:45","0.0","0.0","0.0","...","0.0","...","8.1","72.5","16.18","7.3","2.7","8","2019-02-06 13:00","1.5"
"07","1014.7","1015.1","1017.0","2019-02-07 09:11","1012.2","2019-02-07 15:06","25.0","31.3","2019-02-07 12:50","20.7","2019-02-07 06:48","17.6","65","32","2019-02-07 12:46","2.5","290","8.7","350","2019-02-07 09:37","0.0","0.0","0.0","...","0.0","...","10.1","90.3","17.80","10.0","6.5","8","2019-02-07 13:00","0.0"
"08","1015.5","1015.9","1017.1","2019-02-08 08:18","1013.6","2019-02-08 15:59","23.0","26.4","2019-02-08 14:53","20.0","2019-02-08 06:35","17.6","72","60","2019-02-08 14:50","2.4","10","7.2","350","2019-02-08 19:44","0.0","0.0","0.0","...","0.0","...","9.9","88.4","16.94","6.0","3.5","7","2019-02-08 13:00","0.7"
"09","1017.7","1018.1","1019.8","2019-02-09 21:43","1015.7","2019-02-09 04:35","23.3","27.5","2019-02-09 12:19","19.8","2019-02-09 06:25","16.7","67","54","2019-02-09 10:46","2.5","360","7.7","310","2019-02-09 14:14","0.0","0.0","0.0","...","0.0","...","9.6","85.6","16.44","8.0","4.2","7","2019-02-09 13:00","0.2"
