"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.0","1012.4","1014.1","2020-05-01 08:21","1010.0","2020-05-01 16:27","28.2","31.8","2020-05-01 13:20","25.2","2020-05-01 04:03","21.0","66","50","2020-05-01 13:11","2.3","320","8.8","300","2020-05-01 13:06","0.0","0.0","0.0","...","0.0","...","6.6","51.0","22.93","8.7","6.1","8","2020-05-01 12:00","6.5"
"02","1009.7","1010.0","1011.8","2020-05-02 07:55","1007.9","2020-05-02 16:25","28.6","31.9","2020-05-02 11:06","25.8","2020-05-02 05:16","23.4","74","60","2020-05-02 00:23","1.5","210","7.5","180","2020-05-02 12:39","0.0","0.0","0.0","...","0.0","...","10.1","78.0","25.28","10.3","6.0","11","2020-05-02 12:00","3.5"
"03","1009.0","1009.4","1010.6","2020-05-03 09:00","1007.5","2020-05-03 04:11","28.2","31.0","2020-05-03 13:01","26.5","2020-05-03 04:26","23.9","78","67","2020-05-03 12:33","2.2","260","8.1","290","2020-05-03 14:07","0.0","0.0","0.0","...","0.0","...","10.2","78.6","27.93","10.0","5.9","11","2020-05-03 12:00","2.5"
"04","1010.4","1010.8","1011.7","2020-05-04 09:43","1009.1","2020-05-04 02:13","28.6","31.7","2020-05-04 13:35","26.6","2020-05-04 02:57","23.6","75","63","2020-05-04 13:35","2.3","290","7.6","290","2020-05-04 10:48","0.0","0.0","0.0","...","0.0","...","12.0","92.4","28.15","10.0","5.3","11","2020-05-04 12:00","2.7"
"05","1009.7","1010.0","1010.6","2020-05-05 00:01","1008.1","2020-05-05 16:46","28.5","31.2","2020-05-05 14:08","26.1","2020-05-05 05:39","24.1","77","68","2020-05-05 13:29","2.1","310","6.8","190","2020-05-05 11:04","0.0","0.0","0.0","...","0.0","...","10.2","78.4","27.07","10.2","6.9","11","2020-05-05 12:00","2.2"
"06","1009.4","1009.8","1011.2","2020-05-06 21:08","1007.6","2020-05-06 04:35","29.3","32.0","2020-05-06 11:57","27.7","2020-05-06 00:10","24.0","73","67","2020-05-06 10:29","2.4","320","8.2","320","2020-05-06 11:00","0.0","0.0","0.0","...","0.0","...","10.7","82.2","27.87","13.0","6.2","11","2020-05-06 12:00","3.5"
"07","1009.8","1010.2","1011.4","2020-05-07 09:52","1008.5","2020-05-07 15:44","29.8","31.9","2020-05-07 11:16","28.0","2020-05-07 01:00","24.9","75","69","2020-05-07 10:36","2.8","320","8.8","310","2020-05-07 13:28","0.0","0.0","0.0","...","0.0","...","10.8","82.8","27.69","10.3","5.3","11","2020-05-07 12:00","3.5"
"08","1009.8","1010.1","1011.2","2020-05-08 21:57","1008.2","2020-05-08 03:00","29.7","32.3","2020-05-08 13:21","27.7","2020-05-08 03:45","25.4","78","67","2020-05-08 13:38","1.9","210","6.8","210","2020-05-08 12:47","0.0","0.0","0.0","...","0.0","...","10.3","78.9","27.27","10.5","7.5","11","2020-05-08 13:00","4.2"
"09","1009.5","1009.9","1011.0","2020-05-09 09:39","1008.2","2020-05-09 17:35","29.5","32.2","2020-05-09 12:50","27.5","2020-05-09 06:03","25.4","79","71","2020-05-09 11:34","2.1","300","7.8","290","2020-05-09 12:02","0.0","0.0","0.0","...","0.0","...","9.1","69.6","24.31","11.5","5.9","10","2020-05-09 12:00","1.8"
"10","1009.6","1010.0","1010.8","2020-05-10 09:16","1007.6","2020-05-10 15:31","29.7","32.2","2020-05-10 13:19","27.8","2020-05-10 03:50","25.3","77","69","2020-05-10 13:15","2.6","290","8.4","270","2020-05-10 14:44","0.0","0.0","0.0","...","0.0","...","10.8","82.5","27.47","12.7","6.8","10","2020-05-10 12:00","2.5"
"11","1009.4","1009.7","1011.3","2020-05-11 09:23","1007.3","2020-05-11 16:09","29.9","33.1","2020-05-11 15:13","28.2","2020-05-11 00:41","25.8","79","63","2020-05-11 16:11","2.3","290","7.8","300","2020-05-11 18:27","0.0","0.0","0.0","...","0.0","...","9.3","70.9","25.33","8.3","6.6","10","2020-05-11 13:00","4.3"
"12","1009.8","1010.1","1011.7","2020-05-12 22:38","1008.1","2020-05-12 16:44","29.0","32.1","2020-05-12 11:56","27.5","2020-05-12 05:03","24.4","77","65","2020-05-12 12:34","3.2","310","12.3","310","2020-05-12 14:11","0.0","0.0","0.0","...","0.0","...","6.8","51.8","22.46","6.7","7.1","9","2020-05-12 13:00","4.8"
"13","1011.9","1012.3","1013.4","2020-05-13 21:32","1010.5","2020-05-13 01:31","28.4","31.2","2020-05-13 11:06","26.6","2020-05-13 04:20","23.5","75","66","2020-05-13 12:43","2.1","290","6.5","290","2020-05-13 14:04","0.0","0.0","0.0","...","0.0","...","8.0","60.9","23.32","6.5","5.9","10","2020-05-13 12:00","2.2"
"14","1011.4","1011.8","1013.2","2020-05-14 08:40","1009.7","2020-05-14 16:05","28.9","31.5","2020-05-14 11:41","26.6","2020-05-14 04:40","23.4","73","63","2020-05-14 12:21","2.2","300","8.4","290","2020-05-14 11:34","0.0","0.0","0.0","...","0.0","...","11.0","83.6","26.87","7.5","6.1","9","2020-05-14 13:00","2.0"
"15","1008.5","1008.9","1010.3","2020-05-15 00:01","1006.3","2020-05-15 15:51","30.3","34.3","2020-05-15 12:52","26.7","2020-05-15 04:15","24.3","70","59","2020-05-15 14:18","2.7","160","11.2","160","2020-05-15 13:25","0.0","0.0","0.0","...","0.0","...","11.8","89.6","27.79","7.3","7.9","11","2020-05-15 13:00","1.7"
"16","1007.4","1007.7","1009.5","2020-05-16 08:22","1005.8","2020-05-16 14:35","30.9","34.5","2020-05-16 13:25","28.6","2020-05-16 23:48","24.1","68","54","2020-05-16 13:46","3.3","160","12.4","150","2020-05-16 10:21","0.0","0.0","0.0","...","0.0","...","7.8","59.2","23.90","10.0","5.4","9","2020-05-16 11:00","7.7"
"17","1004.7","1005.1","1006.5","2020-05-17 00:01","1001.9","2020-05-17 16:28","29.6","33.1","2020-05-17 13:03","27.6","2020-05-17 04:16","24.3","74","63","2020-05-17 13:01","3.4","320","12.0","320","2020-05-17 13:46","0.0","0.0","0.0","...","0.0","...","10.4","78.8","26.16","13.0","6.4","10","2020-05-17 13:00","4.5"
"18","1005.4","1005.7","1007.0","2020-05-18 22:53","1003.3","2020-05-18 02:49","29.5","32.6","2020-05-18 13:08","27.3","2020-05-18 23:55","24.8","76","65","2020-05-18 14:16","2.2","270","7.1","320","2020-05-18 16:34","T","0.7","T","2020-05-18 20:32","T","2020-05-18 20:32","5.8","43.9","23.04","12.5","-5.9","10","2020-05-18 13:00","7.7"
"19","1007.0","1007.4","1008.6","2020-05-19 23:36","1004.4","2020-05-19 04:25","26.8","29.8","2020-05-19 09:50","24.2","2020-05-19 14:25","22.9","79","69","2020-05-19 09:56","1.3","40","8.4","360","2020-05-19 12:11","9.5","2.4","4.5","2020-05-19 14:05","7.5","2020-05-19 14:02","0.0","0.0","4.36","10.3","-0.9","3","2020-05-19 10:00","9.5"
