"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.2","1013.6","1014.9","2020-03-01 23:26","1011.4","2020-03-01 15:22","25.2","29.4","2020-03-01 10:12","21.7","2020-03-01 06:27","19.8","72","57","2020-03-01 10:11","2.7","320","10.8","320","2020-03-01 16:30","0.0","0.0","0.0","...","0.0","...","10.9","93.8","23.44","8.0","5.5","8","2020-03-01 13:00","0.5"
"02","1016.3","1016.7","1018.5","2020-03-02 21:49","1013.9","2020-03-02 02:53","23.4","25.6","2020-03-02 11:44","21.9","2020-03-02 03:33","18.7","75","68","2020-03-02 16:03","2.3","300","7.1","300","2020-03-02 13:05","0.0","0.0","0.0","...","0.0","...","4.8","41.2","16.80","4.3","3.9","6","2020-03-02 13:00","7.8"
"03","1017.2","1017.6","1019.5","2020-03-03 09:15","1014.4","2020-03-03 16:23","24.1","27.4","2020-03-03 12:31","20.5","2020-03-03 05:49","16.6","63","54","2020-03-03 12:29","2.5","310","7.6","360","2020-03-03 02:25","0.0","0.0","0.0","...","0.0","...","9.9","84.9","21.58","8.0","5.1","7","2020-03-03 13:00","1.7"
"04","1016.0","1016.4","1018.2","2020-03-04 08:23","1013.1","2020-03-04 15:41","24.4","28.4","2020-03-04 13:52","20.1","2020-03-04 23:56","17.8","67","58","2020-03-04 10:55","2.7","310","8.6","300","2020-03-04 13:08","0.0","0.0","0.0","...","0.0","...","3.8","32.5","15.25","5.3","-5.6","6","2020-03-04 12:00","5.8"
"05","1016.9","1017.3","1018.9","2020-03-05 09:29","1014.9","2020-03-05 14:44","21.7","25.6","2020-03-05 13:37","18.7","2020-03-05 06:39","15.8","69","58","2020-03-05 15:03","2.7","350","7.2","310","2020-03-05 12:19","T","0.8","T","2020-03-05 03:10","T","2020-03-05 03:05","2.7","23.1","14.61","5.7","3.6","6","2020-03-05 14:00","8.5"
"06","1016.4","1016.8","1018.9","2020-03-06 09:41","1013.8","2020-03-06 15:42","22.7","25.7","2020-03-06 11:56","19.8","2020-03-06 05:58","16.7","69","61","2020-03-06 10:33","1.9","310","7.7","310","2020-03-06 14:18","0.0","0.0","0.0","...","0.0","...","5.5","46.9","18.23","4.8","4.0","7","2020-03-06 13:00","6.7"
"07","1013.3","1013.7","1016.1","2020-03-07 00:01","1010.5","2020-03-07 15:00","24.9","28.7","2020-03-07 12:05","21.8","2020-03-07 04:52","18.5","68","55","2020-03-07 12:38","1.9","270","5.6","300","2020-03-07 16:49","0.0","0.0","0.0","...","0.0","...","6.6","56.2","18.44","6.0","5.0","7","2020-03-07 12:00","4.7"
"08","1011.0","1011.4","1013.2","2020-03-08 09:36","1008.9","2020-03-08 16:19","25.5","28.7","2020-03-08 12:37","22.8","2020-03-08 03:00","19.6","70","61","2020-03-08 11:16","1.6","300","6.8","300","2020-03-08 15:16","0.0","0.0","0.0","...","0.0","...","10.1","85.8","23.21","6.3","4.6","8","2020-03-08 13:00","1.2"
"09","1009.4","1009.8","1011.2","2020-03-09 22:51","1007.0","2020-03-09 14:50","26.0","29.2","2020-03-09 14:13","23.2","2020-03-09 04:14","21.0","74","66","2020-03-09 14:05","2.3","180","7.7","190","2020-03-09 09:51","0.0","0.0","0.0","...","0.0","...","7.2","61.1","18.95","7.8","-3.7","7","2020-03-09 12:00","4.3"
