"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.5","1016.9","1018.4","2019-12-01 08:15","1014.5","2019-12-01 14:53","23.5","27.0","2019-12-01 12:48","20.5","2019-12-01 06:23","18.4","74","57","2019-12-01 11:48","2.2","20","6.7","10","2019-12-01 00:11","0.0","0.0","0.0","...","0.0","...","8.9","82.5","13.08","5.3","3.9","5","2019-12-01 12:00","2.8"
"02","1016.8","1017.2","1018.7","2019-12-02 21:13","1015.0","2019-12-02 13:52","21.5","27.0","2019-12-02 13:31","16.8","2019-12-02 23:59","14.4","65","47","2019-12-02 14:02","4.1","360","10.2","360","2019-12-02 02:08","0.0","0.0","0.0","...","0.0","...","8.6","79.7","12.92","7.3","3.0","5","2019-12-02 12:00","2.2"
"03","1018.6","1019.0","1020.0","2019-12-03 08:35","1017.1","2019-12-03 14:28","20.2","23.8","2019-12-03 13:21","16.4","2019-12-03 05:03","12.3","61","52","2019-12-03 20:29","1.9","290","6.2","330","2019-12-03 14:27","0.0","0.0","0.0","...","0.0","...","3.5","32.5","12.44","8.0","3.1","4","2019-12-03 12:00","7.2"
"04","1019.4","1019.8","1021.0","2019-12-04 20:31","1017.5","2019-12-04 14:31","19.9","23.4","2019-12-04 12:30","18.2","2019-12-04 17:23","13.3","66","52","2019-12-04 12:49","2.6","360","7.7","360","2019-12-04 18:00","0.0","0.0","0.0","...","0.0","...","0.0","0.0","5.67","6.3","-1.4","3","2019-12-04 12:00","9.7"
"05","1019.4","1019.8","1020.8","2019-12-05 08:33","1017.3","2019-12-05 14:38","17.9","21.0","2019-12-05 13:00","16.2","2019-12-05 22:36","14.1","79","66","2019-12-05 12:55","3.4","360","9.0","360","2019-12-05 18:14","2.8","2.1","1.0","2019-12-05 22:01","2.0","2019-12-05 21:34","0.0","0.0","6.92","6.8","-0.7","4","2019-12-05 13:00","9.3"
"06","1018.4","1018.8","1019.6","2019-12-06 00:08","1016.9","2019-12-06 14:53","17.3","19.0","2019-12-06 10:53","16.1","2019-12-06 00:43","15.0","87","81","2019-12-06 11:18","3.1","360","9.3","350","2019-12-06 12:36","5.5","6.5","1.0","2019-12-06 17:32","2.0","2019-12-06 16:47","0.0","0.0","4.24","6.7","-0.2","2","2019-12-06 11:00","9.7"
"07","1019.7","1020.1","1022.0","2019-12-07 21:02","1017.2","2019-12-07 02:37","17.4","20.3","2019-12-07 12:55","15.1","2019-12-07 07:48","13.0","76","65","2019-12-07 15:05","3.0","360","9.4","340","2019-12-07 08:36","0.0","0.0","0.0","...","0.0","...","0.2","1.9","8.61","9.0","2.4","4","2019-12-07 13:00","9.2"
"08","1021.1","1021.5","1022.7","2019-12-08 08:45","1019.2","2019-12-08 14:33","18.9","23.0","2019-12-08 14:55","14.6","2019-12-08 06:23","13.0","70","56","2019-12-08 14:43","1.6","290","6.1","310","2019-12-08 14:41","0.0","0.0","0.0","...","0.0","...","9.4","87.5","17.44","8.3","2.1","5","2019-12-08 12:00","4.2"
"09","1019.5","1019.9","1021.7","2019-12-09 00:01","1017.5","2019-12-09 14:26","20.3","24.1","2019-12-09 13:53","16.0","2019-12-09 06:38","12.5","61","46","2019-12-09 10:11","1.8","50","6.7","290","2019-12-09 13:54","0.0","0.0","0.0","...","0.0","...","9.2","85.7","17.37","10.3","5.0","5","2019-12-09 12:00","3.0"
"10","1016.5","1016.9","1018.7","2019-12-10 00:01","1013.9","2019-12-10 14:42","21.4","27.2","2019-12-10 13:40","16.8","2019-12-10 05:13","12.3","57","36","2019-12-10 13:35","2.7","350","9.3","350","2019-12-10 16:44","0.0","0.0","0.0","...","0.0","...","7.8","72.7","16.31","10.0","3.5","5","2019-12-10 13:00","3.2"
"11","1015.9","1016.3","1018.2","2019-12-11 22:45","1014.1","2019-12-11 14:16","21.5","25.4","2019-12-11 12:36","17.8","2019-12-11 06:22","14.4","64","47","2019-12-11 10:30","2.4","20","8.2","310","2019-12-11 13:10","0.0","0.0","0.0","...","0.0","...","8.7","81.1","17.82","6.7","3.6","5","2019-12-11 12:00","1.8"
