"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.5","1013.9","1015.3","2019-11-01 08:02","1011.8","2019-11-01 15:11","27.5","29.7","2019-11-01 10:45","25.6","2019-11-01 06:04","22.4","73","62","2019-11-01 10:41","1.9","310","7.6","290","2019-11-01 13:06","0.0","0.0","0.0","...","0.0","...","5.3","47.3","12.34","7.2","3.6","6","2019-11-01 13:00","6.2"
"02","1012.2","1012.6","1013.7","2019-11-02 08:05","1010.8","2019-11-02 15:05","27.1","29.8","2019-11-02 13:56","25.0","2019-11-02 04:15","21.8","73","66","2019-11-02 11:31","2.2","320","7.3","330","2019-11-02 15:57","0.0","0.0","0.0","...","0.0","...","8.9","79.5","15.14","6.0","4.3","6","2019-11-02 13:00","3.2"
"03","1011.5","1011.9","1013.3","2019-11-03 07:26","1009.8","2019-11-03 16:34","27.3","31.3","2019-11-03 12:12","24.4","2019-11-03 06:05","22.1","73","63","2019-11-03 12:12","2.2","310","7.7","310","2019-11-03 13:47","0.0","0.0","0.0","...","0.0","...","8.2","73.4","14.25","5.2","4.9","6","2019-11-03 12:00","4.3"
"04","1011.0","1011.4","1012.7","2019-11-04 09:14","1009.8","2019-11-04 13:10","25.2","27.7","2019-11-04 11:29","23.6","2019-11-04 23:56","20.3","75","67","2019-11-04 11:59","1.8","10","5.5","350","2019-11-04 19:30","2.0","2.7","0.5","2019-11-04 14:59","1.5","2019-11-04 15:07","0.0","0.0","3.91","5.7","-1.4","3","2019-11-04 12:00","9.5"
"05","1009.7","1010.1","1011.5","2019-11-05 08:42","1008.3","2019-11-05 13:37","25.3","28.2","2019-11-05 13:31","22.4","2019-11-05 05:41","19.8","71","66","2019-11-05 10:51","1.6","210","4.7","240","2019-11-05 12:59","0.0","0.0","0.0","...","0.0","...","8.2","73.6","14.28","5.8","4.7","6","2019-11-05 12:00","4.8"
"06","1009.3","1009.7","1010.9","2019-11-06 09:12","1007.6","2019-11-06 15:07","25.5","28.1","2019-11-06 11:26","22.9","2019-11-06 06:02","19.7","70","62","2019-11-06 17:35","1.8","30","7.0","350","2019-11-06 15:34","0.0","0.0","0.0","...","0.0","...","4.8","43.2","11.03","7.2","1.9","5","2019-11-06 13:00","3.7"
"07","1010.4","1010.8","1012.1","2019-11-07 22:05","1008.7","2019-11-07 13:54","25.3","28.6","2019-11-07 14:24","22.4","2019-11-07 05:30","19.7","71","60","2019-11-07 11:27","1.9","350","5.8","320","2019-11-07 15:17","0.0","0.0","0.0","...","0.0","...","1.3","11.7","9.68","5.3","4.5","4","2019-11-07 12:00","6.8"
"08","1013.3","1013.7","1015.5","2019-11-08 23:08","1011.3","2019-11-08 00:19","25.3","29.3","2019-11-08 12:45","22.1","2019-11-08 06:30","18.6","67","56","2019-11-08 12:13","2.2","350","6.9","360","2019-11-08 19:14","0.0","0.0","0.0","...","0.0","...","9.2","83.0","14.98","7.3","4.4","6","2019-11-08 12:00","1.0"
"09","1014.9","1015.3","1016.8","2019-11-09 08:32","1013.1","2019-11-09 14:56","24.8","28.2","2019-11-09 12:15","21.5","2019-11-09 05:57","17.8","65","57","2019-11-09 11:22","1.9","280","5.3","310","2019-11-09 13:29","0.0","0.0","0.0","...","0.0","...","9.7","87.6","15.33","7.7","5.6","6","2019-11-09 12:00","1.3"
