"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.5","1021.9","1023.2","2020-02-01 08:51","1019.4","2020-02-01 15:04","18.0","22.3","2020-02-01 12:51","13.6","2020-02-01 05:47","9.6","58","47","2020-02-01 09:29","1.9","50","7.6","290","2020-02-01 14:51","0.0","0.0","0.0","...","0.0","...","9.8","88.4","19.99","7.0","3.2","6","2020-02-01 13:00","0.5"
"02","1021.5","1021.9","1024.2","2020-02-02 09:44","1019.1","2020-02-02 15:08","19.6","24.7","2020-02-02 15:31","14.5","2020-02-02 06:41","11.0","58","39","2020-02-02 11:34","2.1","290","8.2","360","2020-02-02 16:32","0.0","0.0","0.0","...","0.0","...","9.4","84.7","19.50","7.5","4.3","6","2020-02-02 12:00","2.2"
"03","1020.1","1020.5","1021.8","2020-02-03 09:06","1018.1","2020-02-03 15:27","20.2","24.6","2020-02-03 14:26","16.0","2020-02-03 06:35","13.0","64","49","2020-02-03 16:56","2.1","310","8.7","360","2020-02-03 18:46","0.0","0.0","0.0","...","0.0","...","9.6","86.4","19.64","7.0","4.5","6","2020-02-03 13:00","0.0"
"04","1018.5","1018.9","1020.0","2020-02-04 10:17","1016.4","2020-02-04 16:22","20.7","25.2","2020-02-04 12:12","17.2","2020-02-04 06:20","14.4","68","52","2020-02-04 10:19","2.6","360","8.1","360","2020-02-04 17:51","0.0","0.0","0.0","...","0.0","...","7.2","64.7","16.96","6.0","2.7","6","2020-02-04 12:00","2.8"
"05","1018.6","1019.0","1020.0","2020-02-05 09:43","1016.4","2020-02-05 15:30","20.6","25.1","2020-02-05 13:16","17.5","2020-02-05 05:32","15.0","71","58","2020-02-05 13:15","3.1","350","7.8","350","2020-02-05 00:27","0.0","0.0","0.0","...","0.0","...","7.1","63.7","17.77","5.3","4.3","6","2020-02-05 13:00","2.8"
"06","1018.5","1018.9","1020.1","2020-02-06 09:12","1016.3","2020-02-06 13:49","20.1","24.1","2020-02-06 14:47","16.6","2020-02-06 04:59","14.8","72","62","2020-02-06 15:53","2.3","320","8.3","360","2020-02-06 13:26","0.0","0.0","0.0","...","0.0","...","8.4","75.2","19.32","6.5","3.0","6","2020-02-06 13:00","2.8"
"07","1018.8","1019.2","1020.5","2020-02-07 09:35","1016.7","2020-02-07 15:12","20.7","26.4","2020-02-07 13:47","17.5","2020-02-07 23:50","15.7","74","56","2020-02-07 13:29","3.5","350","10.4","350","2020-02-07 15:30","0.0","0.0","0.0","...","0.0","...","9.7","86.7","19.62","5.5","4.1","6","2020-02-07 13:00","0.7"
"08","1021.0","1021.4","1023.6","2020-02-08 23:06","1019.2","2020-02-08 15:04","19.7","24.1","2020-02-08 13:05","16.4","2020-02-08 06:36","14.1","71","60","2020-02-08 14:29","2.8","20","9.0","360","2020-02-08 08:24","0.0","0.0","0.0","...","0.0","...","9.5","84.8","19.72","6.3","5.0","6","2020-02-08 13:00","0.7"
"09","1022.7","1023.1","1024.6","2020-02-09 10:17","1020.6","2020-02-09 15:24","19.6","23.6","2020-02-09 12:42","16.7","2020-02-09 04:26","13.3","67","56","2020-02-09 12:41","2.5","360","7.6","320","2020-02-09 16:09","0.0","0.0","0.0","...","0.0","...","8.9","79.3","18.40","5.5","3.4","6","2020-02-09 13:00","3.7"
