"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.4","1002.6","1002.6","2020-09-01 10:55","1000.2","2020-09-01 03:17","29.0","33.9","2020-09-01 13:54","25.2","2020-09-01 05:40","23.9","76","48","2020-09-01 13:46","2.6","220","8.4","280","2020-09-01 11:37","19.0","3.2","10.0","2020-09-01 05:22","12.5","2020-09-01 05:03","6.5","51.7","16.05","16.5","4.3","...","...","7.6"
"02","1003.4","1004.6","1005.6","2020-09-02 22:55","1001.6","2020-09-02 15:13","31.1","36.7","2020-09-02 12:32","26.6","2020-09-02 04:23","23.2","65","40","2020-09-02 12:08","1.9","220","8.4","210","2020-09-02 12:01","0.0","0.0","0.0","...","0.0","...","10.5","83.7","20.18","16.0","-3.7","...","...","3.1"
"03","1007.6","1008.8","1009.9","2020-09-03 21:24","1005.0","2020-09-03 01:15","28.2","31.2","2020-09-03 16:18","25.4","2020-09-03 11:05","24.4","81","57","2020-09-03 15:00","1.1","70","5.9","10","2020-09-03 16:37","20.0","2.9","11.0","2020-09-03 10:39","17.0","2020-09-03 10:24","4.3","34.3","8.85","13.8","-3.6","...","...","6.8"
"04","1008.4","1009.6","1010.3","2020-09-04 08:23","1006.3","2020-09-04 15:38","28.9","33.6","2020-09-04 12:20","24.9","2020-09-04 05:33","22.8","71","48","2020-09-04 11:58","2.2","70","11.4","50","2020-09-04 16:29","0.0","0.0","0.0","...","0.0","...","10.1","80.8","19.64","16.9","4.6","...","...","2.1"
"05","1006.2","1007.4","1008.1","2020-09-05 07:54","1004.3","2020-09-05 15:44","28.4","32.7","2020-09-05 13:00","25.1","2020-09-05 23:59","20.8","65","40","2020-09-05 12:12","1.6","20","7.5","350","2020-09-05 14:31","0.0","0.0","0.0","...","0.0","...","6.5","52.1","16.96","22.4","6.3","...","...","5.6"
"06","1004.8","1006.0","1006.0","2020-09-06 21:08","1003.3","2020-09-06 14:30","26.7","31.9","2020-09-06 13:19","22.6","2020-09-06 23:31","17.5","60","32","2020-09-06 12:23","1.6","200","8.4","330","2020-09-06 14:40","0.0","0.0","0.0","...","0.0","...","9.9","79.5","21.18","20.6","5.1","...","...","3.5"
"07","1007.7","1008.9","1010.2","2020-09-07 22:55","1005.7","2020-09-07 00:45","27.6","34.9","2020-09-07 13:54","21.2","2020-09-07 05:06","17.9","59","25","2020-09-07 13:33","1.5","200","6.7","80","2020-09-07 15:50","0.0","0.0","0.0","...","0.0","...","8.9","71.7","18.51","19.0","4.8","...","...","5.0"
"08","1010.8","1012.0","1012.2","2020-09-08 20:09","1009.1","2020-09-08 14:56","28.4","34.9","2020-09-08 12:33","25.3","2020-09-08 06:05","21.6","69","36","2020-09-08 12:22","1.1","200","6.6","220","2020-09-08 16:00","1.5","0.5","1.0","2020-09-08 16:19","1.5","2020-09-08 16:06","4.6","37.1","13.98","11.9","-3.1","...","...","8.4"
"09","1008.9","1010.1","1011.6","2020-09-09 00:11","1006.6","2020-09-09 15:26","28.7","34.6","2020-09-09 11:56","25.2","2020-09-09 02:38","21.9","69","39","2020-09-09 11:58","1.2","60","5.8","240","2020-09-09 11:15","0.0","0.0","0.0","...","0.0","...","6.7","54.2","16.18","14.0","3.9","...","...","7.0"
