"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.6","1010.8","1011.0","2020-06-01 23:33","1007.4","2020-06-01 15:31","29.2","34.1","2020-06-01 12:57","26.2","2020-06-01 04:19","24.1","76","49","2020-06-01 12:26","1.2","270","9.3","290","2020-06-01 12:18","0.5","1.8","0.5","2020-06-01 19:45","0.5","2020-06-01 19:40","6.0","44.3","16.00","20.4","-4.2","...","...","7.8"
"02","1008.4","1009.6","1010.8","2020-06-02 00:01","1006.2","2020-06-02 16:32","29.1","34.1","2020-06-02 12:21","25.3","2020-06-02 03:35","24.2","76","56","2020-06-02 12:29","1.0","250","7.5","210","2020-06-02 14:57","0.0","0.0","0.0","...","0.0","...","5.5","40.6","16.26","20.1","4.0","...","...","8.5"
"03","1006.7","1007.9","1008.4","2020-06-03 07:20","1004.0","2020-06-03 16:31","30.1","34.8","2020-06-03 14:04","25.5","2020-06-03 05:15","23.6","70","48","2020-06-03 14:10","2.0","240","9.6","250","2020-06-03 12:48","0.0","0.0","0.0","...","0.0","...","10.9","80.4","22.18","19.6","5.6","...","...","4.8"
"04","1006.1","1007.3","1007.5","2020-06-04 07:58","1004.8","2020-06-04 15:46","30.2","36.2","2020-06-04 12:56","24.8","2020-06-04 05:50","23.0","67","43","2020-06-04 11:37","2.2","210","12.1","200","2020-06-04 10:14","0.0","0.0","0.0","...","0.0","...","8.7","64.1","20.06","22.3","5.5","...","...","5.9"
"05","1006.0","1007.2","1007.5","2020-06-05 08:23","1003.6","2020-06-05 16:13","30.4","35.4","2020-06-05 11:55","26.4","2020-06-05 05:28","23.9","70","44","2020-06-05 11:21","1.7","250","9.1","270","2020-06-05 12:40","0.0","0.0","0.0","...","0.0","...","5.7","42.0","17.49","26.9","5.8","...","...","8.3"
"06","1005.0","1006.2","1006.2","2020-06-06 00:01","1003.8","2020-06-06 13:09","30.3","35.6","2020-06-06 11:55","26.6","2020-06-06 04:12","23.5","68","48","2020-06-06 11:44","2.0","220","13.8","240","2020-06-06 14:30","0.0","0.0","0.0","...","0.0","...","8.1","59.6","17.92","27.5","-4.7","...","...","7.5"
"07","1006.3","1007.5","1007.5","2020-06-07 21:49","1005.1","2020-06-07 01:32","26.7","30.6","2020-06-07 10:46","24.8","2020-06-07 19:02","23.9","86","61","2020-06-07 07:50","1.0","210","10.7","210","2020-06-07 12:32","17.5","9.1","3.5","2020-06-07 12:32","5.5","2020-06-07 12:25","0.8","5.9","4.31","20.4","-1.5","...","...","9.3"
"08","1007.3","1008.5","1008.6","2020-06-08 21:51","1005.6","2020-06-08 04:04","26.4","28.8","2020-06-08 10:14","24.5","2020-06-08 19:56","23.6","85","70","2020-06-08 09:20","1.1","220","7.3","250","2020-06-08 17:00","1.5","4.7","0.2","2020-06-08 17:20","1.0","2020-06-08 17:10","0.1","0.7","5.02","17.3","-0.6","...","...","9.3"
"09","1008.2","1009.4","1009.3","2020-06-09 21:54","1006.9","2020-06-09 02:35","26.9","30.4","2020-06-09 12:52","24.0","2020-06-09 04:05","23.3","81","61","2020-06-09 11:27","1.0","60","5.1","80","2020-06-09 23:09","0.8","2.4","0.5","2020-06-09 13:47","0.8","2020-06-09 13:47","0.0","0.0","6.66","21.0","-0.9","...","...","9.3"
