"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.6","1007.8","1008.0","2019-09-01 20:09","1005.3","2019-09-01 14:59","30.7","35.2","2019-09-01 13:29","25.6","2019-09-01 06:03","22.4","62","42","2019-09-01 10:27","1.7","60","8.4","50","2019-09-01 13:43","0.0","0.0","0.0","...","0.0","...","7.3","58.1","19.72","26.3","5.3","...","...","4.6"
"02","1007.1","1008.3","1009.0","2019-09-02 07:27","1004.6","2019-09-02 15:59","30.8","35.9","2019-09-02 12:56","26.0","2019-09-02 05:37","22.5","63","42","2019-09-02 12:57","1.8","60","8.3","80","2019-09-02 12:26","0.0","0.0","0.0","...","0.0","...","11.2","89.3","26.05","22.1","6.6","...","...","3.0"
"03","1005.5","1006.7","1006.6","2019-09-03 00:01","1003.7","2019-09-03 16:11","30.4","34.1","2019-09-03 12:44","27.0","2019-09-03 02:10","22.1","62","44","2019-09-03 13:03","2.8","60","13.3","80","2019-09-03 13:18","0.0","0.0","0.0","...","0.0","...","10.7","85.5","25.77","26.9","-6.1","...","...","5.0"
"04","1004.5","1005.7","1006.1","2019-09-04 09:55","1003.5","2019-09-04 14:49","27.2","30.6","2019-09-04 08:46","25.6","2019-09-04 13:53","23.9","83","59","2019-09-04 08:49","1.8","60","7.2","70","2019-09-04 00:54","14.5","4.6","4.5","2019-09-04 13:35","10.5","2019-09-04 13:05","0.8","6.4","7.69","19.0","-1.5","...","...","7.1"
"05","1001.9","1003.1","1004.3","2019-09-05 00:01","1000.4","2019-09-05 23:59","26.1","27.9","2019-09-05 08:26","24.9","2019-09-05 23:43","24.6","92","78","2019-09-05 08:24","1.2","210","5.5","220","2019-09-05 22:27","36.5","10.2","12.5","2019-09-05 23:33","15.5","2019-09-05 22:59","0.2","1.6","6.00","12.9","-1.3","...","...","8.6"
"06","1000.2","1001.4","1001.6","2019-09-06 22:14","998.3","2019-09-06 13:54","28.8","33.7","2019-09-06 13:09","24.4","2019-09-06 04:12","23.7","76","49","2019-09-06 14:25","2.0","210","6.3","240","2019-09-06 10:32","21.0","3.5","5.5","2019-09-06 03:58","15.5","2019-09-06 03:26","9.7","77.9","22.82","19.6","3.8","...","...","7.1"
"07","1002.7","1003.9","1004.4","2019-09-07 21:53","1000.9","2019-09-07 02:55","29.0","34.4","2019-09-07 13:44","25.6","2019-09-07 06:11","23.3","73","44","2019-09-07 13:49","1.4","50","6.0","50","2019-09-07 14:55","0.0","0.0","0.0","...","0.0","...","7.5","60.4","17.50","20.4","4.3","...","...","5.3"
"08","1004.2","1005.4","1005.5","2019-09-08 21:29","1002.3","2019-09-08 14:08","28.0","33.5","2019-09-08 13:14","24.7","2019-09-08 23:59","22.5","73","50","2019-09-08 14:04","1.6","60","7.0","70","2019-09-08 20:24","0.2","0.2","0.2","2019-09-08 11:05","0.2","2019-09-08 11:05","6.2","50.0","18.04","21.4","-3.6","...","...","5.5"
"09","1005.3","1006.5","1006.7","2019-09-09 08:03","1003.6","2019-09-09 15:16","28.5","33.3","2019-09-09 11:38","23.2","2019-09-09 05:46","21.6","68","45","2019-09-09 15:05","1.6","60","6.7","60","2019-09-09 21:40","0.0","0.0","0.0","...","0.0","...","6.5","52.5","15.57","18.0","3.8","...","...","4.9"
