"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","998.8","1002.2","1000.2","2020-09-01 22:11","997.4","2020-09-01 03:24","29.6","34.6","2020-09-01 14:31","26.0","2020-09-01 05:17","24.0","75","39","2020-09-01 15:33","2.0","260","10.9","310","2020-09-01 12:02","12.5","2.1","6.0","2020-09-01 05:10","8.0","2020-09-01 04:20","4.7","37.4","17.46","22.8","-4.5","10","2020-09-01 13:00","8.5"
"02","1001.0","1004.4","1003.3","2020-09-02 23:04","999.2","2020-09-02 15:18","31.7","37.6","2020-09-02 12:44","27.0","2020-09-02 06:42","22.5","61","36","2020-09-02 10:51","1.7","280","9.1","300","2020-09-02 13:53","0.0","0.0","0.0","...","0.0","...","10.1","80.5","24.85","15.0","-5.7","10","2020-09-02 12:00","3.5"
"03","1005.2","1008.7","1007.5","2020-09-03 21:33","1002.6","2020-09-03 01:30","28.8","32.6","2020-09-03 15:21","25.5","2020-09-03 11:31","24.0","77","49","2020-09-03 15:08","1.5","120","8.3","270","2020-09-03 09:05","16.0","3.6","5.0","2020-09-03 10:53","9.0","2020-09-03 10:05","4.8","38.3","12.67","16.5","-3.4","7","2020-09-03 14:00","6.8"
"04","1006.1","1009.5","1007.9","2020-09-04 08:18","1004.1","2020-09-04 15:44","29.3","33.7","2020-09-04 12:48","26.0","2020-09-04 05:30","23.0","70","48","2020-09-04 11:03","2.9","70","12.7","130","2020-09-04 16:53","0.0","0.0","0.0","...","0.0","...","9.7","77.6","23.90","16.3","4.7","9","2020-09-04 12:00","2.5"
"05","1003.7","1007.2","1005.8","2020-09-05 09:24","1001.7","2020-09-05 15:52","28.9","34.2","2020-09-05 13:09","25.7","2020-09-05 05:20","20.4","62","36","2020-09-05 13:31","1.6","180","10.4","340","2020-09-05 14:47","0.0","0.0","0.0","...","0.0","...","6.1","48.9","20.79","31.3","5.1","9","2020-09-05 13:00","8.5"
"06","1002.1","1005.6","1003.5","2020-09-06 21:42","1000.6","2020-09-06 14:28","28.1","32.8","2020-09-06 12:29","24.6","2020-09-06 23:56","17.2","54","28","2020-09-06 14:49","1.8","300","10.0","320","2020-09-06 12:11","0.0","0.0","0.0","...","0.0","...","9.9","79.5","25.82","32.5","7.5","10","2020-09-06 12:00","3.5"
"07","1005.2","1008.7","1007.7","2020-09-07 22:56","1003.1","2020-09-07 02:22","28.8","36.2","2020-09-07 13:05","23.1","2020-09-07 04:39","17.2","52","24","2020-09-07 12:11","1.7","180","8.0","100","2020-09-07 16:02","0.0","0.0","0.0","...","0.0","...","8.2","66.0","24.07","30.0","4.6","9","2020-09-07 12:00","5.3"
"08","1008.4","1011.8","1009.7","2020-09-08 20:09","1006.7","2020-09-08 14:52","29.5","35.8","2020-09-08 12:04","26.5","2020-09-08 05:21","21.3","63","35","2020-09-08 11:55","1.5","180","6.6","310","2020-09-08 14:15","0.5","0.4","0.5","2020-09-08 14:26","0.5","2020-09-08 14:15","3.3","26.6","15.95","13.5","-3.7","8","2020-09-08 12:00","8.8"
"09","1006.5","1010.0","1009.2","2020-09-09 00:01","1004.3","2020-09-09 15:46","29.4","35.3","2020-09-09 11:59","26.5","2020-09-09 04:34","21.8","66","39","2020-09-09 12:26","1.3","180","8.3","160","2020-09-09 18:04","T","0.4","T","2020-09-09 17:55","T","2020-09-09 17:55","5.1","41.2","19.83","20.0","-3.9","7","2020-09-09 11:00","7.8"
