"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.9","1012.4","1011.3","2020-05-01 09:06","1007.0","2020-05-01 15:55","27.1","33.6","2020-05-01 13:18","22.8","2020-05-01 05:24","17.6","58","32","2020-05-01 12:01","0.9","180","6.2","340","2020-05-01 13:52","0.0","0.0","0.0","...","0.0","...","2.8","21.5","18.68","20.0","3.3","8","2020-05-01 12:00","7.3"
"02","1005.9","1009.4","1008.1","2020-05-02 08:10","1004.2","2020-05-02 16:10","27.6","34.0","2020-05-02 12:37","24.2","2020-05-02 03:32","19.1","62","37","2020-05-02 11:27","1.1","170","7.6","40","2020-05-02 12:45","0.0","0.0","0.0","...","0.0","...","2.7","20.7","15.95","19.5","4.4","9","2020-05-02 12:00","8.8"
"03","1004.5","1008.0","1006.1","2020-05-03 22:35","1002.8","2020-05-03 14:45","28.4","34.8","2020-05-03 13:43","24.6","2020-05-03 04:37","21.0","66","42","2020-05-03 15:02","1.2","180","8.5","20","2020-05-03 16:27","0.0","0.0","0.0","...","0.0","...","5.4","41.3","21.51","18.0","5.6","9","2020-05-03 13:00","6.8"
"04","1006.1","1009.5","1007.5","2020-05-04 09:01","1004.8","2020-05-04 16:28","29.8","36.6","2020-05-04 11:48","26.3","2020-05-04 05:27","22.3","66","39","2020-05-04 10:59","1.0","260","8.5","280","2020-05-04 13:01","0.0","0.0","0.0","...","0.0","...","9.0","68.7","25.83","17.5","5.3","9","2020-05-04 12:00","3.8"
"05","1004.1","1007.6","1006.6","2020-05-05 00:03","1001.6","2020-05-05 16:22","29.4","34.8","2020-05-05 11:47","26.2","2020-05-05 05:39","22.5","68","40","2020-05-05 11:33","1.5","110","9.5","20","2020-05-05 12:25","0.0","0.0","0.0","...","0.0","...","4.5","34.3","20.70","14.0","4.6","7","2020-05-05 12:00","7.8"
"06","1005.0","1008.4","1008.0","2020-05-06 21:52","1001.5","2020-05-06 03:19","27.0","32.1","2020-05-06 09:52","23.0","2020-05-06 20:13","21.5","73","53","2020-05-06 09:38","2.2","80","11.7","30","2020-05-06 10:49","0.2","0.7","0.1","2020-05-06 19:52","0.2","2020-05-06 19:48","2.8","21.3","13.03","16.3","-3.4","8","2020-05-06 11:00","9.0"
"07","1006.7","1010.2","1008.2","2020-05-07 05:10","1005.3","2020-05-07 15:41","25.7","28.6","2020-05-07 14:57","22.7","2020-05-07 05:40","22.0","81","62","2020-05-07 14:03","1.7","110","6.2","110","2020-05-07 05:38","11.9","2.2","5.4","2020-05-07 04:52","11.0","2020-05-07 04:02","0.0","0.0","9.61","18.3","1.5","4","2020-05-07 12:00","9.8"
"08","1005.7","1009.1","1007.2","2020-05-08 07:25","1003.8","2020-05-08 16:22","28.4","33.7","2020-05-08 12:12","24.8","2020-05-08 04:38","22.3","71","46","2020-05-08 10:58","1.4","180","7.3","30","2020-05-08 14:07","0.0","0.0","0.0","...","0.0","...","3.4","25.8","15.59","19.5","2.8","6","2020-05-08 11:00","7.3"
"09","1004.6","1008.1","1006.1","2020-05-09 06:29","1002.4","2020-05-09 16:54","30.5","36.6","2020-05-09 12:43","25.7","2020-05-09 05:27","22.5","65","38","2020-05-09 12:47","1.5","230","6.8","220","2020-05-09 10:35","0.0","0.0","0.0","...","0.0","...","8.4","63.6","24.73","28.8","6.5","9","2020-05-09 13:00","5.0"
